"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.133841059006102 0.322257120856161 0.190938442380054 0.359414601313735 0.497828940936568
0.147230780582065 0.468473625270156 0.229764218798655 0.440389138623938 0.441190508501128
0.148314375316985 0.306257235891948 0.224598709655612 0.401076835932639 0.669707181976085
0.131886837983265 0.35860709177468 0.208067737162559 0.368361545181922 0.478160457031734
0.191628394335023 0.483590270851731 0.21882679195233 0.388714791861577 0.390800385590428
0.126742594991358 0.416409689559033 0.245646184332003 0.425304145432721 0.50575678684595
0.164914854149548 0.39582438702147 0.207015078646457 0.387336225383931 0.469517820734978
0.139486234459907 0.54427155993455 0.238695340020896 0.456011585976948 0.340813284322418
0.171548709605016 0.422805338507004 0.249602098412153 0.443368690942429 0.540334100043935
0.146017814095353 0.445778946573633 0.234928370035421 0.438220414148067 0.479734073169062
0.12530334085297 0.373331066547307 0.221422087192979 0.405575818647326 0.493736873927651
0.153211170724444 0.362070235185429 0.209320491696874 0.348429768350599 0.455482259648611
0.150641677761879 0.366571047764074 0.20610115237669 0.37030225198954 0.532901930289365
0.103442322245893 0.398132525077287 0.198474844674062 0.369334728938011 0.377800932209486
0.165226142856316 0.444206886265656 0.239789032233692 0.453483852929222 0.438613341490792
0.107782784889048 0.385710776182465 0.220009434873555 0.404816510630637 0.416048487339366
0.144260760465593 0.445927402950561 0.222897979605056 0.399849008811995 0.474752517616877
